agent,stay_id,start_timestamp,stop_timestamp,latitude,longitude,points_count,followed_by_dropout,preceded_by_dropout,matched_lat,matched_lon,matched_dist,matched_label,agent_bucket,matched_x,matched_y,x_bin,y_bin,bin_id
722396,0,2024-10-15 15:00:00+00:00,2024-10-16 01:30:00+00:00,35.598503,139.601199,3599,False,False,35.59850349774284,139.60120333227988,0.3963698025110328,poi,722,15540334.869077643,4245515.780161428,1322,2086,1322_2086
722396,1,2024-10-16 01:35:50+00:00,2024-10-16 09:39:10+00:00,35.598965,139.612737,2677,False,False,35.598962893644284,139.6127366128971,0.23627290929775122,poi,722,15541618.748003127,4245578.673852836,1366,2088,1366_2088
722396,2,2024-10-16 10:00:30+00:00,2024-10-16 10:53:20+00:00,35.624234,139.6001,318,False,False,35.62422289509448,139.60009763452237,1.250354935597276,poi,722,15540211.783366306,4249037.455499918,1318,2203,1318_2203
722396,3,2024-10-16 11:16:30+00:00,2024-10-17 01:38:30+00:00,35.598503,139.601204,4998,False,False,35.59850349774284,139.60120333227988,0.081904327323258,poi,722,15540334.869077643,4245515.780161428,1322,2086,1322_2086
722396,4,2024-10-17 01:53:50+00:00,2024-10-17 09:50:10+00:00,35.598959,139.612737,2256,True,False,35.598962893644284,139.6127366128971,0.433338803915489,poi,722,15541618.748003127,4245578.673852836,1366,2088,1366_2088
722396,5,2024-10-17 10:39:50+00:00,2024-10-18 01:36:40+00:00,35.598503,139.601202,4937,False,True,35.59850349774284,139.60120333227988,0.13273376344355767,poi,722,15540334.869077643,4245515.780161428,1322,2086,1322_2086
722396,6,2024-10-18 01:52:10+00:00,2024-10-18 10:45:10+00:00,35.598965,139.612736,2537,False,False,35.598962893644284,139.6127366128971,0.24016298939695555,poi,722,15541618.748003127,4245578.673852836,1366,2088,1366_2088
722396,7,2024-10-18 11:31:50+00:00,2024-10-19 01:08:10+00:00,35.598503,139.601203,4127,False,False,35.59850349774284,139.60120333227988,0.06288795108115457,poi,722,15540334.869077643,4245515.780161428,1322,2086,1322_2086
722396,8,2024-10-19 01:14:20+00:00,2024-10-19 09:24:40+00:00,35.598967,139.612736,2465,False,False,35.598962893644284,139.6127366128971,0.4588851091193288,poi,722,15541618.748003127,4245578.673852836,1366,2088,1366_2088
722396,9,2024-10-19 09:41:10+00:00,2024-10-19 10:40:00+00:00,35.612308,139.57608,354,False,False,35.61230712922563,139.576079235308,0.1188651918870171,poi,722,15537538.06739609,4247405.726779885,1228,2149,1228_2149
